"","CAG","Kingdom","Phylum","Class","Order","Family","Genus","Specie"
"1","GCA_900248245|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Lachnospiraceae|g","Acetatifactor|s","Acetatifactor_muris"
"2","GCA_000368485|k","Bacteria|p","Proteobacteria|c","Gammaproteobacteria|o","Pseudomonadales|f","Moraxellaceae|g","Acinetobacter|s","Acinetobacter_guillouiae"
"3","GCA_002201475|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Ruminococcaceae|g","Acutalibacter|s","Acutalibacter_muris"
"4","GCA_003428235|k","Bacteria|p","Actinobacteria|c","Coriobacteriia|o","Eggerthellales|f","Eggerthellaceae|g","Adlercreutzia|s","Adlercreutzia_equolifaciens"
"5","GCA_003096535|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Ruminococcaceae|g","Agathobaculum|s","Agathobaculum_butyriciproducens"
"6","GCA_002885515|k","Bacteria|p","Verrucomicrobia|c","Verrucomicrobiae|o","Verrucomicrobiales|f","Akkermansiaceae|g","Akkermansia|s","Akkermansia_muciniphila"
"7","GCA_001405655|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Rikenellaceae|g","Alistipes|s","Alistipes_finegoldii"
"8","GCA_000231275|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Rikenellaceae|g","Alistipes|s","Alistipes_indistinctus"
"9","GCA_000786575|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Rikenellaceae|g","Alistipes|s","Alistipes_inops"
"10","GCA_002159215|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Rikenellaceae|g","Alistipes|s","Alistipes_onderdonkii"
"11","GCA_001915335|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Rikenellaceae|g","Alistipes|s","Alistipes_putredinis"
"12","GCA_004558275|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Rikenellaceae|g","Alistipes|s","Alistipes_shahii"
"13","GCA_000154565|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Ruminococcaceae|g","Anaerotruncus|s","Anaerotruncus_colihominis"
"14","GCA_000403395|k","Bacteria|p","Firmicutes|c","Clostridia|o","Clostridiales|f","Ruminococcaceae|g","Anaerotruncus|s","Anaerotruncus_sp_G3_2012"
"15","GCA_003340305|k","Bacteria|p","Actinobacteria|c","Coriobacteriia|o","Eggerthellales|f","Eggerthellaceae|g","Asaccharobacter|s","Asaccharobacter_celatus"
"16","GCA_001552785|k","Bacteria|p","Actinobacteria|c","Coriobacteriia|o","Coriobacteriales|f","Atopobiaceae|g","Atopobium|s","Atopobium_deltae"
"17","GCA_002959715|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_caccae"
"18","GCA_002221665|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_caecimuris"
"19","GCA_000158035|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_cellulosilyticus"
