"","CAG","Kingdom","Phylum","Class","Order","Family","Genus","Specie"
"1","GCA_000016525|k","Archaea|p","Euryarchaeota|c","Methanobacteria|o","Methanobacteriales|f","Methanobacteriaceae|g","Methanobrevibacter|s","Methanobrevibacter_smithii"
"2","GCA_000012545|k","Archaea|p","Euryarchaeota|c","Methanobacteria|o","Methanobacteriales|f","Methanobacteriaceae|g","Methanosphaera|s","Methanosphaera_stadtmanae"
"3","GCA_900445025|k","Bacteria|p","Actinobacteria|c","Actinobacteria|o","Actinomycetales|f","Actinomycetaceae|g","Actinomyces|s","Actinomyces_odontolyticus"
"4","GCA_000278725|k","Bacteria|p","Actinobacteria|c","Actinobacteria|o","Actinomycetales|f","Actinomycetaceae|g","Actinomyces|s","Actinomyces_sp_ICM47"
"5","GCA_900445615|k","Bacteria|p","Actinobacteria|c","Actinobacteria|o","Bifidobacteriales|f","Bifidobacteriaceae|g","Bifidobacterium|s","Bifidobacterium_adolescentis"
"6","GCA_000741065|k","Bacteria|p","Actinobacteria|c","Actinobacteria|o","Bifidobacteriales|f","Bifidobacteriaceae|g","Bifidobacterium|s","Bifidobacterium_angulatum"
"7","GCA_001263865|k","Bacteria|p","Actinobacteria|c","Actinobacteria|o","Bifidobacteriales|f","Bifidobacteriaceae|g","Bifidobacterium|s","Bifidobacterium_animalis"
"8","GCA_001020245|k","Bacteria|p","Actinobacteria|c","Actinobacteria|o","Bifidobacteriales|f","Bifidobacteriaceae|g","Bifidobacterium|s","Bifidobacterium_bifidum"
"9","GCA_000173455|k","Bacteria|p","Actinobacteria|c","Actinobacteria|o","Bifidobacteriales|f","Bifidobacteriaceae|g","Bifidobacterium|s","Bifidobacterium_catenulatum"
"10","GCA_900105745|k","Bacteria|p","Actinobacteria|c","Actinobacteria|o","Bifidobacteriales|f","Bifidobacteriaceae|g","Bifidobacterium|s","Bifidobacterium_dentium"
"11","GCA_000219455|k","Bacteria|p","Actinobacteria|c","Actinobacteria|o","Bifidobacteriales|f","Bifidobacteriaceae|g","Bifidobacterium|s","Bifidobacterium_longum"
"12","GCA_003437435|k","Bacteria|p","Actinobacteria|c","Actinobacteria|o","Bifidobacteriales|f","Bifidobacteriaceae|g","Bifidobacterium|s","Bifidobacterium_pseudocatenulatum"
"13","GCA_002846835|k","Bacteria|p","Actinobacteria|c","Actinobacteria|o","Bifidobacteriales|f","Bifidobacteriaceae|g","Bifidobacterium|s","Bifidobacterium_pseudolongum"
"14","GCA_000175615|k","Bacteria|p","Actinobacteria|c","Actinobacteria|o","Micrococcales|f","Micrococcaceae|g","Rothia|s","Rothia_mucilaginosa"
"15","GCA_900000115|k","Bacteria|p","Actinobacteria|c","Actinobacteria|o","Propionibacteriales|f","Propionibacteriaceae|g","Propionibacterium|s","Propionibacterium_freudenreichii"
"16","GCA_001494635|k","Bacteria|p","Actinobacteria|c","Coriobacteriia|o","Coriobacteriales|f","Atopobiaceae|g","Olsenella|s","Olsenella_scatoligenes"
"17","GCA_001404695|k","Bacteria|p","Actinobacteria|c","Coriobacteriia|o","Coriobacteriales|f","Coriobacteriaceae|g","Collinsella|s","Collinsella_aerofaciens"
"18",NA,NA,NA,NA,NA,NA,NA,NA
"19","GCA_002159295|k","Bacteria|p","Actinobacteria|c","Coriobacteriia|o","Coriobacteriales|f","Coriobacteriaceae|g","Enorma|s","Enorma_massiliensis"
"20","GCA_003428235|k","Bacteria|p","Actinobacteria|c","Coriobacteriia|o","Eggerthellales|f","Eggerthellaceae|g","Adlercreutzia|s","Adlercreutzia_equolifaciens"
"21","GCA_003340305|k","Bacteria|p","Actinobacteria|c","Coriobacteriia|o","Eggerthellales|f","Eggerthellaceae|g","Asaccharobacter|s","Asaccharobacter_celatus"
"22","GCA_000024265|k","Bacteria|p","Actinobacteria|c","Coriobacteriia|o","Eggerthellales|f","Eggerthellaceae|g","Eggerthella|s","Eggerthella_lenta"
"23","GCA_003340385|k","Bacteria|p","Actinobacteria|c","Coriobacteriia|o","Eggerthellales|f","Eggerthellaceae|g","Gordonibacter|s","Gordonibacter_pamelaeae"
"24","GCA_003340315|k","Bacteria|p","Actinobacteria|c","Coriobacteriia|o","Eggerthellales|f","Eggerthellaceae|g","Slackia|s","Slackia_isoflavoniconvertens"
"25","GCA_002959715|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_caccae"
"26","GCA_000158035|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_cellulosilyticus"
"27","GCA_000195615|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_clarus"
"28","GCA_000154845|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_coprocola"
"29","GCA_000157915|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_coprophilus"
"30","GCA_000156075|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_dorei"
"31","GCA_000185605|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_eggerthii"
"32","GCA_900106755|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_faecis"
"33","GCA_000433375|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_faecis_CAG_32"
"34","GCA_000156195|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_finegoldii"
"35","GCA_000598325|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_fragilis"
"36","GCA_003096855|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_galacturonicus"
"37","GCA_003363675|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_intestinalis"
"38","GCA_000382445|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_massiliensis"
"39","GCA_000273175|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_nordii"
"40","GCA_002959635|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_ovatus"
"41","GCA_000187895|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_plebeius"
"42","GCA_000381365|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_salyersiae"
"43","GCA_001915545|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_sp_43_108"
"44","GCA_000434215|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_sp_CAG_144"
"45","GCA_000432735|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_sp_CAG_443"
"46","GCA_000434735|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_sp_CAG_530"
"47","GCA_000431055|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_sp_CAG_598"
"48","GCA_000435115|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_sp_CAG_633"
"49","GCA_000432535|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_sp_CAG_661"
"50","GCA_900106605|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_stercoris"
"51","GCA_900109385|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_thetaiotaomicron"
"52","GCA_003438465|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_uniformis"
"53","GCA_000699845|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_vulgatus"
"54","GCA_002161135|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Bacteroidaceae|g","Bacteroides|s","Bacteroides_xylanisolvens"
"55","GCA_003533425|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Barnesiellaceae|g","Barnesiella|s","Barnesiella_intestinihominis"
"56","GCA_000473955|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Barnesiellaceae|g","Coprobacter|s","Coprobacter_fastidiosus"
"57","GCA_000803105|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Barnesiellaceae|g","Coprobacter|s","Coprobacter_secundus"
"58","GCA_001915615|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Odoribacteraceae|g","Butyricimonas|s","Butyricimonas_synergistica"
"59","GCA_003437885|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Odoribacteraceae|g","Butyricimonas|s","Butyricimonas_virosa"
"60","GCA_000243215|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Odoribacteraceae|g","Odoribacter|s","Odoribacter_laneus"
"61","GCA_003529505|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Odoribacteraceae|g","Odoribacter|s","Odoribacter_splanchnicus"
"62","GCA_900454815|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Porphyromonadaceae|g","Porphyromonas|s","Porphyromonas_endodontalis"
"63","GCA_000832075|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Porphyromonadaceae|g","Sanguibacteroides|s","Sanguibacteroides_justesenii"
"64","GCA_000233955|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Prevotellaceae|g","Paraprevotella|s","Paraprevotella_clara"
"65","GCA_000205165|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Prevotellaceae|g","Paraprevotella|s","Paraprevotella_xylaniphila"
"66","GCA_000177315|k","Bacteria|p","Bacteroidetes|c","Bacteroidia|o","Bacteroidales|f","Prevotellaceae|g","Prevotella|s","Prevotella_bivia"
